"Ship to","Ship to","duplicate (33-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/recent.phtml, 32-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/history.phtml)"
Shipped,Shipped,"duplicate (133-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Order/Item.php, 57-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice/Shipment.php, 133-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Order/Item.php, 57-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice/Shipment.php)"
"Shipping & Handling","Shipping & Handling","duplicate (31-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Entity/Quote/Address/Attribute/Frontend/Shipping.php, 62-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Quote/Address/Total/Shipping.php, 31-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Entity/Quote/Address/Attribute/Frontend/Shipping.php, 62-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Quote/Address/Total/Shipping.php)"
"Shipping Address","Shipping Address","duplicate (35-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/details.phtml, 29-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/view.phtml)"
"Shipping Method","Shipping Method","duplicate (58-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/details.phtml, 33-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/view.phtml)"
"Store Credit","Store Credit","duplicate (31-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Entity/Quote/Address/Attribute/Frontend/Custbalance.php, 31-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Entity/Quote/Address/Attribute/Frontend/Custbalance.php)"
Subtotal,Subtotal,"duplicate (29-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Entity/Quote/Address/Attribute/Frontend/Subtotal.php, 147-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Quote/Address/Total/Subtotal.php, 29-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Entity/Quote/Address/Attribute/Frontend/Subtotal.php, 147-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Quote/Address/Total/Subtotal.php, 76-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/details.phtml, 55-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/view.phtml)"
Tax,Tax,"duplicate (31-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Entity/Quote/Address/Attribute/Frontend/Tax.php, 51-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Quote/Address/Total/Tax.php, 31-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Entity/Quote/Address/Attribute/Frontend/Tax.php, 51-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Quote/Address/Total/Tax.php)"
"There's not enough qty of product '%s' in invoice to return","There's not enough qty of product '%s' in invoice to return","duplicate (410-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice.php, 410-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice.php)"
"There's not enough qty of product '%s' in order to ship","There's not enough qty of product '%s' in order to ship","duplicate (401-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice.php, 401-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice.php)"
"Track Order","Track Order","duplicate (48-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/recent.phtml, 47-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/history.phtml, 33-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/view.phtml)"
"Unknown invoice type","Unknown invoice type","duplicate (417-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice.php, 417-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice.php)"
"Unknown Status","Unknown Status","duplicate (157-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Order/Item.php, 72-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice/Shipment.php, 169-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice.php, 157-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Order/Item.php, 72-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice/Shipment.php, 169-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice.php)"
"Unknown Type","Unknown Type","duplicate (191-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice.php, 191-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice.php)"
"View Order","View Order","duplicate (48-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/recent.phtml, 47-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/history.phtml)"
Visa,Visa,"duplicate (76-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Quote/Payment.php, 76-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Quote/Payment.php)"
"You have placed no orders.","You have placed no orders.","duplicate (55-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/recent.phtml, 55-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/history.phtml)"
