"Priority Mail","Priority Mail","redundant (294 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php)"
"Priority Overnight","Priority Overnight","redundant (464 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
Rectangular,Rectangular,"redundant (357 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php)"
Regular,Regular,"redundant (362 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php)"
"Regular Daily Pickup","Regular Daily Pickup","redundant (278 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"Regular Pickup","Regular Pickup","redundant (483 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
"Request Courier","Request Courier","redundant (484 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
Residential,Residential,"redundant (309 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"Second Day Service","Second Day Service","redundant (265 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Dhl.php)"
"Standard Overnight","Standard Overnight","redundant (465 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
Station,Station,"redundant (487 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
"UPS Express Box","UPS Express Box","redundant (298 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"UPS Letter Envelope","UPS Letter Envelope","redundant (296 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"UPS Tube","UPS Tube","redundant (297 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo","redundant (300 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
