"Last Name","Last Name","duplicate (34-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 35-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 34-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping.phtml, 35-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping.phtml)"
"Loading next step...","Loading next step...","duplicate (38-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/payment.phtml, 89-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 80-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping.phtml, 30-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping_method.phtml)"
"Order Success","Order Success","duplicate (56-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Model/Type/Multishipping/State.php, 22-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/success.phtml)"
Password,Password,"duplicate (73-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 74-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 51-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/login.phtml)"
"Payment Method","Payment Method","duplicate (50-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/billing.phtml, 42-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/overview.phtml, 64-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/progress.phtml, 71-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/progress.phtml)"
"Place Order","Place Order","duplicate (53-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Model/Type/Multishipping/State.php, 121-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/overview.phtml, 32-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/review.phtml)"
"Please select region, state or province","Please select region, state or province","duplicate (54-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 54-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping.phtml)"
"Please specify the product option(s)","Please specify the product option(s)","duplicate (173-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Model/Cart.php, 224-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Model/Cart.php)"
Price,Price,"duplicate (81-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/overview.phtml, 25-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/review/info.phtml)"
"Proceed to Checkout","Proceed to Checkout","duplicate (39-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Block/Onepage/Link.php, 30-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/cart.phtml, 31-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/cart.phtml)"
"Product Name","Product Name","duplicate (87-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/shipping.phtml, 80-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/overview.phtml, 24-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/review/info.phtml, 45-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/cart.phtml)"
Qty,Qty,"duplicate (44-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/cart/sidebar.phtml, 43-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/addresses.phtml, 88-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/shipping.phtml, 82-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/overview.phtml, 26-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/review/info.phtml, 51-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/cart.phtml)"
"Remove Product","Remove Product","duplicate (42-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/cart/sidebar.phtml, 46-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/cart.phtml)"
"Requested quantity is not available","Requested quantity is not available","duplicate (153-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Model/Cart.php, 186-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Model/Cart.php, 216-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Model/Cart.php)"
"Review Order","Review Order","duplicate (33-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Block/Multishipping/Overview.php, 22-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/overview.phtml)"
"Select State/Province...","Select State/Province...","duplicate (98-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 90-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping.phtml)"
"Ship to Multiple Addresses","Ship to Multiple Addresses","duplicate (33-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Block/Multishipping/Addresses.php, 29-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/addresses.phtml)"
"Shipping Address","Shipping Address","duplicate (25-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/standard/shipping.phtml, 40-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/progress.phtml, 45-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/progress.phtml)"
"Shipping Information","Shipping Information","duplicate (47-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Model/Type/Multishipping/State.php, 30-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Block/Onepage/Shipping.php, 23-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/standard/shipping.phtml, 50-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/overview.phtml)"
"Shipping Method","Shipping Method","duplicate (33-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Block/Onepage/Shipping/Method.php, 34-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/standard/shipping.phtml, 37-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/standard/shipping.phtml, 51-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/shipping.phtml, 63-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/overview.phtml, 50-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/progress.phtml, 59-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/progress.phtml)"
"Shipping to","Shipping to","duplicate (42-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/shipping.phtml, 56-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/overview.phtml)"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time.","duplicate (54-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/shipping.phtml, 22-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping_method/available.phtml)"
State/Province,State/Province,"duplicate (157-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Block/Onepage/Abstract.php, 113-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Block/Onepage.php, 52-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 53-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 56-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 52-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping.phtml, 53-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping.phtml, 56-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping.phtml)"
"Street Address","Street Address","duplicate (46-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 46-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping.phtml)"
"Street Address 2","Street Address 2","duplicate (47-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 47-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping.phtml)"
Subtotal,Subtotal,"duplicate (83-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/overview.phtml, 27-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/review/info.phtml, 52-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/cart.phtml)"
Telephone,Telephone,"duplicate (65-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 66-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 65-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping.phtml, 66-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping.phtml)"
"Thank you for your purchase!","Thank you for your purchase!","duplicate (25-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/success.phtml, 25-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/success.phtml)"
"This product is out of stock","This product is out of stock","duplicate (116-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Model/Cart.php, 211-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Model/Cart.php)"
"Update Total","Update Total","duplicate (49-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/cart/shipping.phtml, 49-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/cart/shipping.phtml)"
"Zip/Postal Code","Zip/Postal Code","duplicate (25-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/cart/shipping.phtml, 59-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 60-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 58-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping.phtml, 59-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping.phtml)"
