Sales,Vanzari
Doc Number,Numarul documentului
Edit Answer '%s',Editati raspunsul '%s'
All types,Toate tipurile
Subtotal,Subtotal
Coupon code,Codul de cupon
User Information,Informatia folositorului
Add new Role,Adaugati un nou rol
# of Use,# de folositori
New Customer Group,Grup nou de client
For all types of checkout,Pentru toate tipurile de verificare
New Newsletter Template,Scrisoare noua pre-facuta de noutati
User Info,Informatie de folositor
Edit Tag,Editati cuponul
Error while saving this rate. Please try again later.,Eroare la salvarea acestei rate. Va rugam incercati din nou mai tirziu.
Customer Group was successfully deleted,Grupul de client a fost sters cu succes
New Customer Tax Class,Clasa noua de taxe pentru client
Block was successfully saved,Blocul a fost salvat cu succes
Online,Pe linie
Queue Finish,Rindul la terminare
Class Name,Numele clasei
Stores,Magazine
Role ID,Rol ID
Rate With %s,Rata cu %s
Poll information,Informatia polului
Poducts Report,Raport de produse
Edit Search,Editati cautarea
Last date subscribed,Abonat la ultima data
Add,Adaugati
Datetime,Data
Default Qty,Cantitatea standard
Are you sure you want to cancel this order?,Sinteti sigur ca vreti sa stergeti aceasta comanda?
Edit Poll,Editati polul
Category deleted,Categorie stearsa
Qty To Add,Cantitate adaugata
Backend Model,Model de cadere
User was successfully saved,Folositorul a fost salvat cu succes
Create Product Settings,Creati setarile produsului
From,De la
Newsletter Information,Informatia scrisorii de noutati
Select Configurable Attributes ,Selectati atributele configurabile
Attribute Information,Informatia de atribut
Store Information,Informatia de magazin
n/a,nu este valabil
Edit Website,Editati Website-ul
Edit Set Name,Editati numele setat
Tax rate was successfully saved,Rata de taxe a fost salvata cu succes
Billing Address,Adresa de factura
Rules were successfully applied,Regulile au fost aplicate cu succes
This search no longer exists,Aceasta cautare nu mai exista
This attribute shares the same value in all the stores,Acest atribut are aceeasi valoare in toate magazinele
Data Type for Saving in Database,Tipul de data pentru salvare in baza de date
Tag was successfully saved,Cuponul a fost salvat cu succes
Use advanced conditions,Folositi conditiile avansate
Save,Salvati
Type,Tipul
Purchased at,Cumparat la
Enable,Da-ti posibilitate
Recipients,Recipienti
Permission,Permisie
Promo,Promotie
Class Details,Detaliile clasei
Category saved,Categorie salvata
Name In %s,Numele in %s
Zip/Postal Code,Zip/Codul postal
Empty,Gol
Product Name,Numele produsului
NOT LOGGED IN,NU SINTETI INTRAT
Role successfully deleted.,Rolul sters cu succes.
Edit Search '%s',Editati cautarea '%s'
Tax rule was successfully deleted,Regula taxei a fost stearsa cu succes
None,Nici una
Per Order,Pe comanda
Number Added,Numar adaugat
For shipment with matching items,Pentru livrare cu obiecte egale
Tax rates file has been successfully imported,Fila cu ratele de taxa a fost importata cu succes
Ship to First name,Livrati la nume
New Search,Cautare noua
Edit Rule,Editati regula
Letters(a-z) or Numbers(0-9),Litere(a-z) sau numere(0-9)
Visible on Catalog Pages on Front-end,Visibil in paginile catalogului in fata
Edit User '%s',Editati folositorul '%s'
Rule Information,Informatia regulii
CSV,CSV
Submit Order,Trimite-ti comanda
Options,Optiuni
Edit Customer Group,Editati grupul clientului
Delete,Stergeti
Error while saving this group. Group with the same name already exists.,Eroare in salvarea acestui grup. Un grup cu acelasi nume exista.
Last date unsubscribed,De-abonat ultima oara la
Text Area,Zona de text
Queue Newsletter,Rind la scrisoarea de noutati
Bought From,Cumparat de la
Visitor,Visitator
New Product Attribute,Atribut nou al produsului
Currency,Moneda
Error while deleting this set.,Eroare la stergerea acestui set.
Please select a product,Va rugam selectati un produs
User Role,Regula folositorului
Assigned Role,Regula atribuita
Date Created,Creata la data de
SKU,SKU
Conditions and Actions,Conditii si actiuni
Pause,Pauza
Review,Recenzie
Integer Number,Numar de integer
Option Label,Optiunea marcii
Recently Compared,Comparata recent
Start,Start
Rates,Rate
Bundle,Packet
Save Answer,Salvati raspunsul
Number of Uses,Numar de folositori
Delete Rate,Stergeti rata
Shopping Cart,Carut de cumparaturi
Save Customer,Salvati clientul
Apply To,Aplicati la
Website,Website
Template Subject,Subiectul paginii pre-facute
Preview Template,Prevedeti pagina pre-facuta
Attribute Properties,Proprietatile actributului
Customer was successfully saved,Clientul a fost salvat cu succes
Create Credit Memo,Createti un memo de credit
Order #%s,Comanda #%s
Shipping Address,Adresa de livrare
Attribute Identifier,Identificator de atribut
Globally Editable,Editabil global
Category Data,Data categoriei
Customer Tax Class Information,Informatia clasei de taxa a clientului
Selected subscribers were successfully added to the selected queue,Abonatii selectati au fost adaugati cu succes la rindul selectat
Date,Data
Nickname,Porecla
Customers Tagged Product,Produsul cuponat at clientului
Product Rating,Ratarea produsului
Edit %s Tax Class Title,Editati %s titlul clasei de taxe
Customer Groups,Grupe de client
Text Field,Cimp de text
Enabled,Dati posibilitate
All,Toate
Integer,Integer
Bill to Last name,Numele de familie pentru factura
Backup,Backup
Dropdown,Cadere
New Store,Nou magazin
Product Tags (Total),Cupoane de produs (Total)
Toggle Editor,Inversati editorul
Code,Codul
Search Information,Cautati informatia
Option Title,Titlul de optiune
ZIP/Post Code,ZIP/Cod postal
Tax class was successfully saved,Clasa de taxe a fost salvata cu succes
Name<br/>(For internal use),Nume<br/>(Pentru folosire interna)
Qty,Cantitate
Rating Title,Titlul ratarii
Advanced Conditions,Conditii avansate
Tax Class,Clasa de taxa
Keywords,Cuvinte cheie
New Rule,Regula noua
Fixed amount discount,Suma de rabat fixa
Redirect,Redirectionat
You cannot edit this attribute,Nu puteti edit acest atribut
Unsubcribed,Ne-abonat
Edit Invoice #%s,Editati factura #%s
Add Group,Adaugati grupul
DB,baza de date
Tier Pricing,Pret de scara
New Email Template,Email nou pre-facut
Results,Resultate
First Name,Numele
Save Poll,Salvati polul
Product Attribute Sets,Seturi de atribute ale produsului
Save Category,Salvati categoria
Customer Information,Informatia clientului
Create New Order,Creati o comanda noua
"Invalid Region/State ""%s"" in the Row #%s","Regiune/Stat invalid ""%s"" in linia #%s"
This invoice no longer exists,Aceasta factura nu mai exista
Create New Credit Memo,Creati un nou memo de credit
New Customer Groups,Grupuri noi de client
Bought from wishlists,Cumparat din lista de dorinte
Products Tagged with '%s',Produse cuponate cu '%s'
Edit Role,Editati rolul
Edit Order,Editati comanda
Edit Rating,Editati ratarea
Add New Block,Adaugati un bloc nou
New Credit Memo for Invoice #,Memo de credit nou pentru factura #
Name,Nume
Not activated,Ne-activata
Invalid request,Cerere invalida
Exclude multi-address checkout,Exclude-ti verificarea adreselor multiple
Add New Attribute Set,Adaugati un nou set de atribute
Delete Invoice,Stergeti factura
Wrong column format,Formare de coloana gresita
Edit Order #%s,Editati comanda #%s
Review was successfully saved,recenzia a fost salvata cu succes
All Stores,Toate magazinele
Summary of Review,Sumarul recenziei
Date Posted,Data postarii
Qty Shipped,Cantitatea livrata
Save config,Salvati configuratia
Invoice was successfully charged,Factura a fost schimbata cu succes
Actions,Actiuni
Export,Exportati
Please select State,Va rugam selectati statul
All countries,Toate tarile
Selected problems successfully deleted,Problemele selectate au fost sterse cu succes
Save Store,Salvati magazinul
Percent of product price discount,Procentajul pretului cu rabat al produsului
Save Page,Salvati pagina
Error while saving this tax class. Please try again later.,Eroare in salvarea acestei clase de taxa. Va rugam incercati din nou mai tirziu.
Customers Only,Numai clietii
Catalog Price Rule,Regula pretului de catalog
Customer doesn't have primary billing address,Clientul nu are o adresa primara de factura
Virtual Products,Produse virtuale
Add New Answer,Adaugati raspunsul nou
Unable to find a poll to delete,Nu am putut gasi un pol pentru a fi sters
All tags,Toate cupoanele
%s Tax Classes Title,%s Titlul claselor de taxa
Product name,Numele produsului
(Will make search for the query above return results for this search.),(In aceasta cautare voi cauta rezultatele pentru intrebarea de mai sus.)
Subcribed,Abonat
Edit Group,Editati grupul
Number Viewed,Numarul vazut
Rating Information,Ratarea informatiei
Bill to First name,Numele pentru factura
Attribute set successfully saved.,Setul de atribute salvat cu succes.
Attribute Model,Atributul modelului
Error while saving this tax rule. Please try again later.,Eroare in salvarea aceste reguli de taxa. Va rugam incercati din nou mai tirziu.
Attribute with the same code already exists,Un atribut cu acelasi cod exista deja
Qty Returned,Cantitate returnata
Delete Template,Stergeti pre-facuta
Add Answer,Adaugati raspunsul
Add New Tag,Adaugati un cupon nou
Save Review,Salvati recenzia
Answer was successfully saved,Raspunsul a fost salvat cu succes
Delete Search,Stergeti cautarea
New Poll,Pol nou
"Please, select Rate","Va rugam selectati rata"
Save Role,Salvati rolul
All rates were imported,Toate ratele au fost importate
Reviews,Recenzii
Edit Invoice,Editati factura
Multiple Select,Selectati multiple
Visible,Visibile
Rating,Ratare
Template Name,Numele pre-facutei
Product Type,Tipul de produs
Please select a customer,Va rugam selectati un client
Tax rate was successfully deleted,Rata de taxe a fost stearsa cu succes
Free ground shipping,Livrare terestra gratuita
Default price,Pret standard
Disabled,Invalid
No description,Fara descriptie
Delete Tag,Stergeti cuponul
Product saved,Produs salvat
Please select a store,Va rugam selectati un magazin
This rule no longer exists,Aceasta regula nu mai exista
This rule no longer exists,Aceasta regula nu mai exista
Ratings,Ratari
Save Currency,Salvati moneda
Ship to Last name,Numele de familie pentru livrare
Add New Search,Adaugati o noua cautare
Delete Poll,Stergeti polul
Priority,Prioritate
Product Reviews,Recenziile produsului
Invoice was not charged,Factura nu a fost schimbata
Sent,Trimis
Assigned Options,Optiuni atribuite
Tax rule was successfully saved,Regula de taxa a fost salvata cu succes
IP Address,Adresa de IP
Settings,Setari
Queue Subject,Rindul subiectului
Add New Category,Adaugati o categorie noua
Inactive,Inactiv
Add New Customer,Adaugati un client nou
Apply To Configurable/Grouped Product,Aplicati la produsul configurabil/grupat
Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown'),Folositi navigare in trepte<br/>(Poate fi folosita numai cu tipul de imput 'Cadere')
Customer was deleted,Clientul a fost sters
Please fill in 'email' field.,Va rugam intrati cimpul 'email'.
Qty Cancelled,Cantitate stearsa
Sending,Trimitem
Searchable on Front-end,Cautabil in fata initiala
Duplicate,Duplicat
Wrong tab configuration,Configuratie de tab gresita
Add New Page,Adaugati o pagina noua
"Edit ""%s""","Editati ""%s"""
Submit Invoice,Trimiteti factura
Product duplicated,Produs duplicat
Delete Role,Stergeti rolul
Identifier,Identificator
Poll Answers,Raspunsuri de pol
Wishlists,Liste de dorinte
Last Url,Ultimul Url
Edit Block '%s',Editati blocul '%s'
Tax Rule Information,Informatia regulii de taxa
Edit Class Details,Editati detaliile clasei
Rule was successfully deleted,Regula a fost stearsa cu succes
Attribute Set,Set de atribute
Customer View,Vederea clientului
Sender Email,Email-ul trimitatorului
Products Tags,Cupoane de produse
HTTP (unsecure),HTTP (nesigur)
Add Option,Adaugati optiunea
Shipping Price,Pret de livrare
Edit Website '%s',Editati Website-ul '%s'
Create New Customer,Creati un client nou
Edit Newsletter,Editati scrisoarea de noutati
# of Uses,# de folosiri
Number of times deleted,De cite ori sters
Newsletter Finish,Terminarea scrisorii de noutati
Closed,Inchis
Edit Page '%s',Editati pagina '%s'
Product deleted,Produs sters
Preview,Prevedere
Save Attribute Set,Salvati setul de atribute
Store was successfully saved,Magazinul a fost salvat cu succes
You have not enought permissions to login.,Nu aveti destule permisiuni de intrare.
Product Attributes,Atributele produsului
Return Html Version,Reintoarceti versiunea Html
Save Order,Salvati comanda
There are no items in customer's shopping cart at the moment,In acest moment nu sint obiecte in carutul de cumparaturi al clientului
Group Information,Informatia de grup
User Name,Numele folositorului
New Password,Parola noua
Average rating,Ratare medie
New User,Nou folositor
Active,Activ
You can not delete self assigned roles.,Nu puteti sterge roluri auto-atribuite.
Invoice was successfully saved,Factura a fost salvata cu succes
Qty Ordered,Cantitatea comandata
XML,XML
Send auto-generated password,Trimiteti parola auto-generata
Order Information,Informatia comenzii
List (default) / Grid,Lista (standard) / Grila
Newsletter Received,Scrisoarea de noutati primita
Queue Date Start,Rindul pornirii zilei
SEF URL Identifier,Identificator SEF URL
Product SKU,SKU de produs
Grand Total,Total complet
Selected problem subscribers successfully unsubscribed,Abonatii cu probleme selectati au fost de-abonati cu succes
Category Products,Produse de categorie
Action,Actiune
Role Users,Folositori de rol
Date Closed,Inchis la data de
Are you sure? This order will be cancelled and a new one will be created instead,Sinteti sigur? Aceasta comanda va fi stearsa si una noua va fi creata
Sender Name,Numele trimitatorului
Approved,Aprobat
Save and Apply,Salvati si aplicati
Product Tax Class,Clasa de taxa a produsului
Block was succesfully deleted,Blocul a fost sters cu succes
